Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Transaction_Frequency,Amount_ZScore,Is_Night_Transaction,Transaction_Velocity,Location_Anomaly,Transaction_Acceleration,Device_Anomaly
T20487,4740,2328.06,Online Purchase,18.0,Mobile,San Francisco,2,70,9,Credit Card,0.18571428571428572,-0.3068598523732725,0,3.8571428571428568,1,1.2446808510638299,1
T49399,1496,,ATM Withdrawal,16.0,Mobile,Chicago,0,85,12,Debit Card,0.21176470588235294,,0,4.235294117647059,1,1.4594594594594597,1
T19722,2231,3561.5,Bill Payment,14.0,Mobile,Seattle,4,54,2,Credit Card,0.2777777777777778,0.4068793113211935,0,1.1111111111111112,1,0.34090909090909094,1
T43556,2605,543.05,POS Payment,12.0,Tablet,San Francisco,3,114,6,Net Banking,0.13157894736842105,-1.0744500691296857,0,1.5789473684210527,1,0.8571428571428571,1
T32092,1947,49997.8,ATM Withdrawal,6.0,Mobile,Houston,1,66,5,UPI,0.3484848484848485,2.4506684667870937,1,2.2727272727272725,1,0.6424581005586593,1
T16843,2675,241.05,POS Payment,11.0,Desktop,Houston,3,23,1,Debit Card,0.6086956521739131,-1.1582990408164835,0,1.0,1,0.12389380530973451,1
T8881,1515,2047.83,Bank Transfer,5.0,Mobile,Boston,4,7,14,UPI,2.7142857142857144,-0.39929199437119434,1,14.0,1,1.9703703703703703,1
T29244,1110,296.49,Bank Transfer,9.0,Tablet,Chicago,2,117,12,UPI,0.18803418803418803,-1.174103440890416,0,3.076923076923077,1,1.4831460674157302,1
T22527,2967,1079.96,ATM Withdrawal,5.0,,Los Angeles,2,104,12,Credit Card,0.17307692307692307,-1.164716560023512,1,3.4615384615384612,1,1.728,1
T18719,2793,262.3,POS Payment,2.0,Desktop,Seattle,1,118,14,UPI,0.0847457627118644,-0.9095673122224712,1,3.5593220338983054,1,2.3728813559322033,1
T45814,4811,3808.03,Bill Payment,15.0,Desktop,Miami,0,64,10,Net Banking,0.296875,-0.0759643592242984,0,4.6875,1,1.2337662337662338,1
T36848,2969,335.57,ATM Withdrawal,2.0,Tablet,Los Angeles,1,16,4,Debit Card,1.1875,-1.5131955499564185,1,4.0,1,0.5277777777777778,1
T23456,3215,648.38,POS Payment,5.0,Desktop,San Francisco,3,44,5,Net Banking,0.22727272727272727,-1.3341127073328067,1,3.409090909090909,1,0.6410256410256411,1
T49145,4154,4357.13,Bill Payment,,Mobile,Houston,0,116,3,Invalid Method,0.06896551724137931,1.150977866217719,0,0.7758620689655172,1,0.631578947368421,1
T31901,1328,2848.37,ATM Withdrawal,18.0,Mobile,Los Angeles,3,116,7,Net Banking,0.12931034482758622,-0.29673437650969076,0,1.8103448275862069,1,0.7954545454545454,1
T6805,3789,4848.79,ATM Withdrawal,16.0,Tablet,Seattle,4,26,1,UPI,0.3076923076923077,1.4697891088965693,0,1.0,1,0.12121212121212122,1
T49219,1402,3782.5,Bill Payment,19.0,,Seattle,1,37,12,Debit Card,0.43243243243243246,1.2389450196566447,0,9.72972972972973,1,1.900990099009901,1
T39353,1391,3064.08,Bill Payment,5.0,Desktop,Seattle,0,52,7,Net Banking,0.38461538461538464,0.08844030173423802,1,4.038461538461538,1,0.8588957055214723,1
T28168,2135,2842.01,Online Purchase,18.0,Desktop,New York,0,69,3,Credit Card,0.2463768115942029,0.3181163488979318,0,1.3043478260869565,1,0.4434782608695652,1
T48260,1101,4804.83,ATM Withdrawal,3.0,Mobile,,2,94,12,UPI,0.10638297872340426,1.727424159880248,1,3.8297872340425534,1,1.3636363636363635,1
T29597,3216,1386.06,Bank Transfer,12.0,Mobile,Chicago,2,110,3,Net Banking,0.09090909090909091,-0.47331220606065866,0,0.8181818181818182,1,0.38961038961038963,1
T35747,4489,63.52,ATM Withdrawal,8.0,Desktop,Houston,2,88,7,Debit Card,0.17045454545454544,-1.45174559045782,0,2.3863636363636367,1,0.8267716535433071,1
T38623,4736,756.95,Bank Transfer,7.0,Mobile,Los Angeles,0,60,14,Net Banking,0.23333333333333334,-0.8569488803967853,0,7.0,1,1.361111111111111,1
T1415,2372,140.53,Bank Transfer,14.0,Desktop,,4,61,1,UPI,0.16393442622950818,-1.397006172311805,0,0.49180327868852464,1,0.16666666666666666,1
